Predicate Name,Num. Satisfactions,Num. Executions,Satisfaction in %,Max. Comp. Time,Min. Comp. Time,Avg. Comp. Time,Weight Max. Comp. Time,Weight Avg. Comp. Time 
brakes_stronger,541,9588,0.0564247,0.021495 [ms],0.00069 [ms],0.00147315 [ms],0.000462877,0.0021978
drives_faster,3675,9588,0.383292,0.026472 [ms],0.000349 [ms],0.000675236 [ms],0.000571554,0.000267024
drives_leftmost,8,1173,0.00682012,26.1171 [ms],0.044945 [ms],0.182487 [ms],0.570282,0.440208
drives_rightmost,7,1173,0.0059676,24.4342 [ms],0.044649 [ms],0.171356 [ms],0.533534,0.413275
drives_with_slightly_higher_speed,1504,9588,0.156863,0.015891 [ms],0.000348 [ms],0.000670102 [ms],0.000340508,0.0002546
exist_standing_leading_vehicle,102,1173,0.0869565,8.86696 [ms],0.013564 [ms],0.315173 [ms],0.193611,0.761278
in_congestion,204,1173,0.173913,3.16113 [ms],0.001149 [ms],0.0566063 [ms],0.0690194,0.135607
in_front_of,4521,9588,0.471527,45.7965 [ms],0.005697 [ms],0.0708011 [ms],1,0.169955
in_leftmost_lane,493,1173,0.42029,0.020055 [ms],0.000847 [ms],0.00181028 [ms],0.000431433,0.00301357
in_queue_of_vehicles,204,1173,0.173913,3.07057 [ms],0.001181 [ms],0.0562078 [ms],0.0670422,0.134643
in_rightmost_lane,248,1173,0.211424,0.013925 [ms],0.000851 [ms],0.00184265 [ms],0.000297579,0.0030919
in_same_lane,3522,9588,0.367334,1.26319 [ms],0.002948 [ms],0.00680385 [ms],0.0275763,0.0150968
in_single_lane,1061,1173,0.904518,0.025851 [ms],0.00078 [ms],0.00232662 [ms],0.000557994,0.00426298
in_slow_moving_traffic,204,1173,0.173913,23.6124 [ms],0.001153 [ms],0.0872395 [ms],0.515591,0.209732
in_standstill,51,1173,0.0434783,0.017463 [ms],0.000452 [ms],0.000909458 [ms],0.000374834,0.000833785
interstate_broad_enough,1165,1173,0.99318,0.231973 [ms],0.054411 [ms],0.0677136 [ms],0.00505884,0.162484
keeps_braking_speed_limit,1173,1173,1,0.007162 [ms],0.000342 [ms],0.000645893 [ms],0.000149903,0.00019602
keeps_fov_speed_limit,1173,1173,1,0.004467 [ms],0.000325 [ms],0.000564885 [ms],9.10555e-05,0
keeps_lane_speed_limit,990,1173,0.84399,0.038867 [ms],0.00272 [ms],0.00817746 [ms],0.000842209,0.0184206
keeps_safe_distance_prec,8736,9588,0.911139,1.83234 [ms],0.006079 [ms],0.0247375 [ms],0.0400041,0.058492
keeps_sign_min_speed_limit,1173,1173,1,0.042999 [ms],0.003121 [ms],0.00794663 [ms],0.000932435,0.0178621
keeps_type_speed_limit,1173,1173,1,0.008668 [ms],0.000397 [ms],0.000641485 [ms],0.000182788,0.000185354
lane_based_orientation_similar,9588,9588,1,2.60876 [ms],0.003875 [ms],0.0518393 [ms],0.056958,0.124072
left_of,0,9588,0,6.18316 [ms],0.013862 [ms],0.0932435 [ms],0.135008,0.224261
left_of_broad_lane_marking,0,1173,0,0.044311 [ms],0.002031 [ms],0.00692697 [ms],0.000961084,0.0153947
main_carriageway_right_lane,175,1173,0.14919,0.014225 [ms],0.000964 [ms],0.00217423 [ms],0.00030413,0.00389423
makes_u_turn,0,1173,0,2.76305 [ms],0.016304 [ms],0.0969342 [ms],0.060327,0.233191
on_access_ramp,44,1173,0.0375107,0.022491 [ms],0.000918 [ms],0.00216775 [ms],0.000484625,0.00387856
on_exit_ramp,102,1173,0.0869565,0.021761 [ms],0.00087 [ms],0.00219464 [ms],0.000468685,0.00394363
on_main_carriage_way,1052,1173,0.896846,0.011541 [ms],0.000987 [ms],0.00222412 [ms],0.000245522,0.00401495
on_shoulder,0,1173,0,0.021449 [ms],0.000995 [ms],0.00221468 [ms],0.000461872,0.00399212
on_urban_road,0,1173,0,0.019672 [ms],0.000941 [ms],0.00228436 [ms],0.00042307,0.00416072
orientation_towards,643,9588,0.067063,2.44221 [ms],0.004875 [ms],0.0472386 [ms],0.0533214,0.112939
preserves_traffic_flow,338,1173,0.28815,0.032875 [ms],0.002956 [ms],0.00848083 [ms],0.000711369,0.0191547
reverses,0,1173,0,0.020374 [ms],0.000297 [ms],0.000610968 [ms],0.000438399,0.000111511
right_of_broad_lane_marking,0,1173,0,0.037552 [ms],0.001818 [ms],0.00641971 [ms],0.000813495,0.0141673
slow_leading_vehicle,567,1173,0.483376,12.4053 [ms],0.013772 [ms],0.413828 [ms],0.270873,1
unnecessary_braking,49,1173,0.0417732,4.84734 [ms],0.010344 [ms],0.222715 [ms],0.105839,0.537552
Global Max. Comp. Time:,45.796523
Global Min. Comp. Time:,0.000297
Global Max. Avg Comp. Time:,0.413828
Global Min. Avg Comp. Time:,0.000565
